name,startdate,dataTakeID,fileVersion,id,clouds,usable
FR-Tou,2021-08-09 10:54:00,20210809105434,1,PRS_L2D_STD_20210809105434_20210809105438_0001,no,1
FR-Tou,2020-11-21 10:56:00,20201121105629,1,PRS_L2D_STD_20201121105629_20201121105633_0001,haze,1
FR-Tou,2021-03-11 10:51:00,20210311105127,1,PRS_L2D_STD_20210311105127_20210311105132_0001,haze,0
FR-Tou,2021-09-07 10:54:00,20210907105445,1,PRS_L2D_STD_20210907105445_20210907105449_0001,haze,0
FR-Tou,2021-10-23 10:48:00,20211023104821,1,PRS_L2D_STD_20211023104821_20211023104825_0001,some,1
FR-Tou,2021-06-18 10:57:00,20210618105727,1,PRS_L2D_STD_20210618105727_20210618105732_0001,many,0
FR-Tou,2021-08-21 11:01:00,20210821110117,1,PRS_L2D_STD_20210821110117_20210821110121_0001,some,1
DK-Gds,2021-02-27 10:41:00,20210227104127,1,PRS_L2D_STD_20210227104127_20210227104131_0001,some,0
DK-Skj,2020-04-20 10:47:00,20200420104742,1,PRS_L2D_STD_20200420104742_20200420104746_0001,no,1


